decision,ref,confidence,kind,reason,original,suggested
APPROVE,PS 103:22,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Bless the LORD, all his works, in all places of his dominion; bless the LORD, O my soul.","Bless the LORD, all His works, in all places of His dominion; bless the LORD, O my soul."
APPROVE,PS 104:16,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"The trees of the LORD are satisfied, the cedars of Lebanon, which he has planted.","The trees of the LORD are satisfied, the cedars of Lebanon, which He has planted."
,PS 105:1,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Give thanks to the LORD, call upon his name; make known his deeds among the peoples.","Give thanks to the LORD, call upon His name; make known his deeds among the peoples."
APPROVE,PS 105:1,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Give thanks to the LORD, call upon his name; make known his deeds among the peoples.","Give thanks to the LORD, call upon His name; make known His deeds among the peoples."
,PS 105:19,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Until the time that his word came to pass, the word of the LORD refined him.","Until the time that His word came to pass, the word of the LORD refined him."
APPROVE,PS 105:19,0.8,pronoun,Divine pronoun 'him' not capitalized (anchor present in verse).,"Until the time that his word came to pass, the word of the LORD refined him.","Until the time that His word came to pass, the word of the LORD refined Him."
APPROVE,PS 105:3,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,Glory in his holy name; let the heart of those who seek the LORD rejoice.,Glory in His holy name; let the heart of those who seek the LORD rejoice.
APPROVE,PS 105:7,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,He is the LORD our God; in all the earth are his judgments.,He is the LORD our God; in all the earth are His judgments.
,PS 106:1,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"Praise the LORD. Give thanks to the LORD, for he is good; for his steadfast love endures forever.","Praise the LORD. Give thanks to the LORD, for He is good; for his steadfast love endures forever."
APPROVE,PS 106:1,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Praise the LORD. Give thanks to the LORD, for he is good; for his steadfast love endures forever.","Praise the LORD. Give thanks to the LORD, for He is good; for His steadfast love endures forever."
APPROVE,PS 107:28,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"Then they cried to the LORD in their trouble, and out of their distresses he brings them forth.","Then they cried to the LORD in their trouble, and out of their distresses He brings them forth."
,PS 107:43,0.8,pronoun,Divine pronoun 'him' not capitalized (anchor present in verse).,"Whoever is wise, let him give heed to these things, and let them consider the lovingkindnesses of the LORD.","Whoever is wise, let Him give heed to these things, and let them consider the lovingkindnesses of the LORD."
APPROVE,PS 108:14,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"Through God we shall do valiantly, and he it is who will tread down our adversaries.","Through God we shall do valiantly, and He it is who will tread down our adversaries."
,PS 108:4,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"I will praise you, O LORD, among the peoples; I will sing praises to you among the nations.","I will praise You, O LORD, among the peoples; I will sing praises to you among the nations."
APPROVE,PS 108:4,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"I will praise you, O LORD, among the peoples; I will sing praises to you among the nations.","I will praise You, O LORD, among the peoples; I will sing praises to You among the nations."
,PS 109:14,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Let the iniquity of his fathers be remembered before the LORD, and let not the sin of his mother be blotted out.","Let the iniquity of His fathers be remembered before the LORD, and let not the sin of his mother be blotted out."
APPROVE,PS 109:14,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Let the iniquity of his fathers be remembered before the LORD, and let not the sin of his mother be blotted out.","Let the iniquity of His fathers be remembered before the LORD, and let not the sin of His mother be blotted out."
APPROVE,PS 109:15,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"Let them be before the LORD continually, that he may cut off their memory from the earth.","Let them be before the LORD continually, that He may cut off their memory from the earth."
,PS 109:27,0.95,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"And they shall know that this is your hand; you, O LORD, have done it.","And they shall know that this is Your hand; you, O LORD, have done it."
APPROVE,PS 109:27,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"And they shall know that this is your hand; you, O LORD, have done it.","And they shall know that this is Your hand; You, O LORD, have done it."
,PS 10:11,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"He has said in his heart, God has forgotten; He has hidden His face, He will never see it.","He has said in His heart, God has forgotten; He has hidden His face, He will never see it."
,PS 10:13,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Why does the wicked despise God and say in his heart, “You will not require it”?","Why does the wicked despise God and say in His heart, “You will not require it”?"
APPROVE,PS 10:16,0.85,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,The LORD is King forever and ever; the nations have perished from his land.,The LORD is King forever and ever; the nations have perished from His land.
,PS 10:3,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"For the wicked boasts of the desire of his soul, and the greedy one blesses himself; he despises the LORD.","For the wicked boasts of the desire of His soul, and the greedy one blesses himself; he despises the LORD."
,PS 10:3,0.8,pronoun,Divine pronoun 'himself' not capitalized (anchor present in verse).,"For the wicked boasts of the desire of his soul, and the greedy one blesses himself; he despises the LORD.","For the wicked boasts of the desire of His soul, and the greedy one blesses Himself; he despises the LORD."
,PS 10:3,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"For the wicked boasts of the desire of his soul, and the greedy one blesses himself; he despises the LORD.","For the wicked boasts of the desire of His soul, and the greedy one blesses Himself; He despises the LORD."
,PS 10:4,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"The wicked, in the height of his pride, does not seek; “There is no God” is in all his schemes.","The wicked, in the height of His pride, does not seek; “There is no God” is in all his schemes."
,PS 10:4,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"The wicked, in the height of his pride, does not seek; “There is no God” is in all his schemes.","The wicked, in the height of His pride, does not seek; “There is no God” is in all His schemes."
,PS 110:2,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD shall send the scepter of your strength out of Zion; rule in the midst of your enemies.,The LORD shall send the scepter of Your strength out of Zion; rule in the midst of your enemies.
APPROVE,PS 110:2,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD shall send the scepter of your strength out of Zion; rule in the midst of your enemies.,The LORD shall send the scepter of Your strength out of Zion; rule in the midst of Your enemies.
APPROVE,PS 111:10,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,The fear of the LORD is the beginning of wisdom; a good understanding have all who do them; his praise endures forever.,The fear of the LORD is the beginning of wisdom; a good understanding have all who do them; His praise endures forever.
,PS 112:7,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"He shall not be afraid of evil tidings; his heart is steadfast, trusting in the LORD.","He shall not be afraid of evil tidings; His heart is steadfast, trusting in the LORD."
APPROVE,PS 113:4,0.85,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,The LORD is exalted above all nations; his glory is above the heavens.,The LORD is exalted above all nations; His glory is above the heavens.
APPROVE,PS 115:10,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"O house of Aaron, trust in the LORD; he is their help and their shield.","O house of Aaron, trust in the LORD; He is their help and their shield."
APPROVE,PS 115:11,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"You who fear the LORD, trust in the LORD; he is their help and their shield.","You who fear the LORD, trust in the LORD; He is their help and their shield."
,PS 115:14,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"May the LORD increase you more and more, you and your children.","May the LORD increase You more and more, you and your children."
,PS 115:14,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"May the LORD increase you more and more, you and your children.","May the LORD increase You more and more, You and your children."
,PS 115:14,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"May the LORD increase you more and more, you and your children.","May the LORD increase You more and more, You and Your children."
,PS 115:3,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"But our God is in the heavens; all that he has pleased, he has done.","But our God is in the heavens; all that He has pleased, he has done."
APPROVE,PS 115:3,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"But our God is in the heavens; all that he has pleased, he has done.","But our God is in the heavens; all that He has pleased, He has done."
APPROVE,PS 115:9,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"O Israel, trust in the LORD; he is their help and their shield.","O Israel, trust in the LORD; He is their help and their shield."
APPROVE,PS 116:17,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"To you I will offer the sacrifice of thanksgiving, and in the name of the LORD I will call.","To You I will offer the sacrifice of thanksgiving, and in the name of the LORD I will call."
,PS 116:19,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"In the courts of the house of the LORD, in the midst of you, O Jerusalem. Praise the LORD.","In the courts of the house of the LORD, in the midst of You, O Jerusalem. Praise the LORD."
APPROVE,PS 116:7,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"Return, my soul, to your rest, for the LORD has dealt bountifully with me.","Return, my soul, to Your rest, for the LORD has dealt bountifully with me."
,PS 117:1,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"Praise the LORD, all you nations; extol Him, all you peoples.","Praise the LORD, all You nations; extol Him, all you peoples."
,PS 117:1,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"Praise the LORD, all you nations; extol Him, all you peoples.","Praise the LORD, all You nations; extol Him, all You peoples."
APPROVE,PS 118:14,0.85,title,Salvation used as a title (my/our/his/their Salvation).,"The LORD is my strength and song, and He has become my salvation.","The LORD is my strength and my song, and He has become my Salvation."
APPROVE,PS 118:21,0.85,title,Salvation used as a title (my/our/his/their Salvation).,"I will give you thanks, for you have answered me, and you have become my salvation.","I will give you thanks, for you have answered me, and you have become my Salvation."
,PS 118:25,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"We beseech you, O LORD, save now; we beseech you, O LORD, send now prosperity.","We beseech You, O LORD, save now; we beseech you, O LORD, send now prosperity."
APPROVE,PS 118:25,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"We beseech you, O LORD, save now; we beseech you, O LORD, send now prosperity.","We beseech You, O LORD, save now; we beseech You, O LORD, send now prosperity."
,PS 118:26,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,Blessed is he who comes in the name of the LORD; we bless you from the house of the LORD.,Blessed is He who comes in the name of the LORD; we bless you from the house of the LORD.
,PS 118:26,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,Blessed is he who comes in the name of the LORD; we bless you from the house of the LORD.,Blessed is He who comes in the name of the LORD; we bless You from the house of the LORD.
,PS 118:28,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"You are my God, and I will give you thanks; my God, I will exalt you.","You are my God, and I will give You thanks; my God, I will exalt you."
APPROVE,PS 118:28,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"You are my God, and I will give you thanks; my God, I will exalt you.","You are my God, and I will give You thanks; my God, I will exalt You."
APPROVE,PS 118:4,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Let those who fear the LORD now say, “For his mercy endures forever.”","Let those who fear the LORD now say, ""For His mercy endures forever."""
,PS 119:115,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"Depart from me, you evildoers, that I may keep the commandments of my God.","Depart from me, You evildoers, that I may keep the commandments of my God."
,PS 119:75,0.95,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"I know, O LORD, that your judgments are righteous, and in faithfulness you have afflicted me.","I know, O LORD, that Your judgments are righteous, and in faithfulness you have afflicted me."
APPROVE,PS 119:75,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"I know, O LORD, that your judgments are righteous, and in faithfulness you have afflicted me.","I know, O LORD, that Your judgments are righteous, and in faithfulness You have afflicted me."
APPROVE,PS 119:89,0.95,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"Forever, O LORD, your word is firmly fixed in the heavens.","Forever, O LORD, Your word is firmly fixed in the heavens."
,PS 11:1,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"For the choirmaster. Of David. In the LORD I have taken refuge; how can you say to my soul, “Flee to your mountain like a bird”?","For the choirmaster. Of David. In the LORD I have taken refuge; how can You say to my soul, “Flee to your mountain like a bird”?"
,PS 11:1,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"For the choirmaster. Of David. In the LORD I have taken refuge; how can you say to my soul, “Flee to your mountain like a bird”?","For the choirmaster. Of David. In the LORD I have taken refuge; how can You say to my soul, “Flee to Your mountain like a bird”?"
,PS 11:4,0.85,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"The LORD is in his holy temple; the LORD’s throne is in heaven. His eyes behold, his eyelids test the children of man.","The LORD is in His holy temple; the LORD’s throne is in heaven. His eyes behold, his eyelids test the children of man."
APPROVE,PS 11:4,0.85,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"The LORD is in his holy temple; the LORD’s throne is in heaven. His eyes behold, his eyelids test the children of man.","The LORD is in His holy temple; the LORD's throne is in heaven. His eyes behold, His eyelids test the children of man."
,PS 11:7,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"For the LORD is righteous, he loves righteous deeds; the upright shall behold his face.","For the LORD is righteous, He loves righteous deeds; the upright shall behold his face."
APPROVE,PS 11:7,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"For the LORD is righteous, he loves righteous deeds; the upright shall behold his face.","For the LORD is righteous, He loves righteous deeds; the upright shall behold His face."
,PS 121:5,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD is your keeper; the LORD is your shade at your right hand.,The LORD is Your keeper; the LORD is your shade at your right hand.
,PS 121:5,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD is your keeper; the LORD is your shade at your right hand.,The LORD is Your keeper; the LORD is Your shade at your right hand.
,PS 121:5,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD is your keeper; the LORD is your shade at your right hand.,The LORD is Your keeper; the LORD is Your shade at Your right hand.
,PS 121:7,0.85,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,The LORD shall keep you from all evil; He shall keep your soul.,The LORD shall keep You from all evil; He shall keep your soul.
,PS 121:7,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD shall keep you from all evil; He shall keep your soul.,The LORD shall keep You from all evil; He shall keep Your soul.
,PS 121:8,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD shall guard your going out and your coming in from this time forth and forevermore.,The LORD shall guard Your going out and your coming in from this time forth and forevermore.
,PS 121:8,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD shall guard your going out and your coming in from this time forth and forevermore.,The LORD shall guard Your going out and Your coming in from this time forth and forevermore.
,PS 122:9,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,For the sake of the house of the LORD our God I will seek your good.,For the sake of the house of the LORD our God I will seek Your good.
,PS 128:5,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"May the LORD bless you from Zion, and may you see the good of Jerusalem all the days of your life.","May the LORD bless You from Zion, and may you see the good of Jerusalem all the days of your life."
,PS 128:5,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"May the LORD bless you from Zion, and may you see the good of Jerusalem all the days of your life.","May the LORD bless You from Zion, and may You see the good of Jerusalem all the days of your life."
,PS 128:5,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"May the LORD bless you from Zion, and may you see the good of Jerusalem all the days of your life.","May the LORD bless You from Zion, and may You see the good of Jerusalem all the days of Your life."
,PS 129:8,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"Nor do those who pass by say, “The blessing of the LORD be upon you; we bless you in the name of the LORD.”","Nor do those who pass by say, “The blessing of the LORD be upon You; we bless you in the name of the LORD.”"
,PS 129:8,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"Nor do those who pass by say, “The blessing of the LORD be upon you; we bless you in the name of the LORD.”","Nor do those who pass by say, “The blessing of the LORD be upon You; we bless You in the name of the LORD.”"
,PS 12:6,0.8,pronoun,Divine pronoun 'him' not capitalized (anchor present in verse).,"Because of the devastation of the poor, because of the groaning of the needy, now I will arise, says the LORD; I will set him in the safety for which he longs.","Because of the devastation of the poor, because of the groaning of the needy, now I will arise, says the LORD; I will set Him in the safety for which he longs."
,PS 12:6,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"Because of the devastation of the poor, because of the groaning of the needy, now I will arise, says the LORD; I will set him in the safety for which he longs.","Because of the devastation of the poor, because of the groaning of the needy, now I will arise, says the LORD; I will set Him in the safety for which He longs."
APPROVE,PS 12:8,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"You, O LORD, will keep them; you will guard us from this generation forever.","You, O LORD, will keep them; You will guard us from this generation forever."
APPROVE,PS 130:3,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"If you, O LORD, should mark iniquities, O Lord, who could stand?","If You, O LORD, should mark iniquities, O Lord, who could stand?"
APPROVE,PS 130:5,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"I wait for the LORD, my soul waits, and in his word I hope.","I wait for the LORD, my soul waits, and in His word I hope."
,PS 132:1,0.95,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"A Song of Ascents. Remember, O LORD, for David, all his afflictions.","A Song of Ascents. Remember, O LORD, for David, all His afflictions."
,PS 132:11,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD has sworn to David in truth; He will not turn from it: From the fruit of your body I will set upon your throne.,The LORD has sworn to David in truth; He will not turn from it: From the fruit of Your body I will set upon your throne.
APPROVE,PS 132:11,0.85,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,The LORD has sworn to David in truth; He will not turn from it: From the fruit of your body I will set upon your throne.,The LORD has sworn to David in truth; He will not turn from it: From the fruit of Your body I will set upon Your throne.
,PS 132:13,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,For the LORD has chosen Zion; he has desired it for his dwelling.,For the LORD has chosen Zion; He has desired it for his dwelling.
APPROVE,PS 132:13,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,For the LORD has chosen Zion; he has desired it for his dwelling.,For the LORD has chosen Zion; He has desired it for His dwelling.
,PS 134:1,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"Behold, bless the LORD, all you servants of the LORD, who stand in the house of the LORD by night.","Behold, bless the LORD, all You servants of the LORD, who stand in the house of the LORD by night."
,PS 134:2,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"Lift up your hands in holiness, and bless the LORD.","Lift up Your hands in holiness, and bless the LORD."
,PS 134:3,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"May the LORD bless you from Zion, He who made heaven and earth.","May the LORD bless You from Zion, He who made heaven and earth."
APPROVE,PS 135:1,0.8,pronoun,Divine pronoun 'him' not capitalized (anchor present in verse).,"Praise Yah. Praise the name of the LORD; praise him, O servants of the LORD.","Praise the LORD. Praise the name of the LORD; praise Him, O servants of the LORD."
,PS 135:14,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"For the LORD will judge his people, and will have compassion on his servants.","For the LORD will judge His people, and will have compassion on his servants."
APPROVE,PS 135:14,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"For the LORD will judge his people, and will have compassion on his servants.","For the LORD will judge His people, and will have compassion on His servants."
,PS 135:20,0.8,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"House of Levi, bless the LORD; you who fear the LORD, bless the LORD.","House of Levi, bless the LORD; You who fear the LORD, bless the LORD."
APPROVE,PS 136:2,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Give thanks to the God of gods, for his mercy endures forever.","Give thanks to the God of gods, for His mercy endures forever."
,PS 138:4,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"All the kings of the earth shall give you thanks, O LORD, for they have heard the words of your mouth.","All the kings of the earth shall give You thanks, O LORD, for they have heard the words of your mouth."
APPROVE,PS 138:4,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"All the kings of the earth shall give you thanks, O LORD, for they have heard the words of your mouth.","All the kings of the earth shall give You thanks, O LORD, for they have heard the words of Your mouth."
,PS 138:6,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"For though the LORD is exalted, yet he regards the lowly; but the proud he knows from afar.","For though the LORD is exalted, yet He regards the lowly; but the proud he knows from afar."
APPROVE,PS 138:6,0.8,pronoun,Divine pronoun 'he' not capitalized (anchor present in verse).,"For though the LORD is exalted, yet he regards the lowly; but the proud he knows from afar.","For though the LORD is exalted, yet He regards the lowly; but the proud He knows from afar."
APPROVE,PS 139:1,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"For the choirmaster. A psalm of David. O LORD, you have searched me and known me.","For the choirmaster. A psalm of David. O LORD, You have searched me and known me."
APPROVE,PS 139:17,0.95,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"And to me, how precious are your thoughts, O God; how mighty is the sum of them.","And to me, how precious are Your thoughts, O God; how mighty is the sum of them."
APPROVE,PS 139:19,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"Oh that you would slay the wicked, O God, and men of blood, depart from me.","Oh that You would slay the wicked, O God, and men of blood, depart from me."
APPROVE,PS 139:4,0.95,pronoun,Divine pronoun 'you' not capitalized (anchor present in verse).,"For there is not a word on my tongue, but behold, O LORD, you know it altogether.","For there is not a word on my tongue, but behold, O LORD, You know it altogether."
APPROVE,PS 140:8,0.85,title,Salvation used as a title (my/our/his/their Salvation).,"O LORD, my Lord, the strength of my salvation, You have covered my head in the day of battle.","O LORD, my Lord, the strength of my Salvation, You have covered my head in the day of battle."
,PS 140:9,0.8,pronoun,Divine pronoun 'his' not capitalized (anchor present in verse).,"Do not grant, O LORD, the desires of the wicked; do not bring to pass his scheme, lest they be exalted. Selah.","Do not grant, O LORD, the desires of the wicked; do not bring to pass His scheme, lest they be exalted. Selah."
,PS 143:1,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"A psalm of David. O LORD, hear my prayer; give ear to my supplications. In your faithfulness answer me, and in your righteousness.","A psalm of David. O LORD, hear my prayer; give ear to my supplications. In Your faithfulness answer me, and in your righteousness."
APPROVE,PS 143:1,0.8,pronoun,Divine pronoun 'your' not capitalized (anchor present in verse).,"A psalm of David. O LORD, hear my prayer; give ear to my supplications. In your faithfulness answer me, and in your righteousness.","A psalm of David. O LORD, hear my prayer; give ear to my supplications. In Your faithfulness answer me, and in Your righteousness."
APPROVE,PS 144:1,0.88,title,Divine title used as possessive title ('my/our/his/their ...').,"Of David. Blessed be the LORD, my rock, who trains my hands for battle, my fingers for war.","Of David. Blessed be the LORD, my Rock, who trains my hands for battle, my fingers for war."
